"FEEDERID","DESCRIPTION","LOCATION","LAT","LON","ROUTELENGHT","FEEDERZONEID","SUBSTATIONID","DESCRIPTION2","CREATEDBY","CREATEDON","RECID"
1117,"OWERRI ROAD ","feeder name: OWERRI road","4.7964991","7.0058954","","",184,"OWERRI RD","",02-AUG-22 09.47.13.000000000 PM,51
1118,"MILE ONE ","","4.7962989","7.0047942","","",184,"MILE ONE","",02-AUG-22 09.47.13.000000000 PM,52
1119,"UST","","4.7972773","6.9825975","","",185,"U.S.T","",02-AUG-22 09.47.13.000000000 PM,53
1120109,"NAVAL BASE","","4.7970304","6.9491407","","",898,"NAVAL BASE","",02-AUG-22 09.47.13.000000000 PM,54
1120110,"NKPOR","The feeder starts here","4.7951012","6.9458436","","",898,"NKPOR","",02-AUG-22 09.47.13.000000000 PM,55
1120111,"EAGLE ISLAND","EAGLE ISLAND FEEDER STARTS HERE","4.7805679","6.9647015","","",157,"EAGLE ISLAND","",02-AUG-22 09.47.13.000000000 PM,56
1121,"RUMUEME","","4.7994281","7.0336085","","",185,"RUMUEME","",02-AUG-22 09.47.13.000000000 PM,57
1122,"WOKOMA ","","4.7956653","7.0370478","","",185,"WOKOMA","",02-AUG-22 09.47.13.000000000 PM,58
1123,"NPA","","4.7732494","7.0204433","","",186,"NPA","",02-AUG-22 09.47.13.000000000 PM,59
1124,"STATION ROAD ","","4.7957542","7.0359876","","",186,"STATION ROAD","",02-AUG-22 09.47.13.000000000 PM,60
1125,"AMADI NORTH ","AMADI NORTH 11KV FEEDER STARTS HERE","4.7671286"," 7.021787","","",186,"AMADI NORTH","",02-AUG-22 09.47.13.000000000 PM,61
1126,"CHURCHILL","","4.7669079"," 7.022436","","",186,"CHURCHILL","",02-AUG-22 09.47.13.000000000 PM,62
1128,"RAILWAY ","","4.8696732","7.1519242","","",187,"RAILWAY","",02-AUG-22 09.47.13.000000000 PM,63
1129,"OHAKWE","","4.8670228","6.9629242","","",188,"OHAKWE","",02-AUG-22 09.47.13.000000000 PM,64
1130,"LOCATION ROAD ","this is the feeder point","4.8648612","6.9657084","","",188,"LOCATION","",02-AUG-22 09.47.13.000000000 PM,65
1131,"MGBUOBA ","","4.7957975","7.0509037","","",188,"MGBUOBA","",02-AUG-22 09.47.13.000000000 PM,66
1132,"BAKERY ROAD","","4.8680309","6.9577849","","",907,"BAKERY ROAD","",02-AUG-22 09.47.13.000000000 PM,67
1133,"ALUU ","","4.8985862","6.9069298","","",189,"ALUU","",02-AUG-22 09.47.13.000000000 PM,68
1134,"CHOBA ","","4.8700166","333333334","","",189,"CHOBA","",02-AUG-22 09.47.13.000000000 PM,69
1135,"RUMUEKINI ","","4.8044571","7.0279395","","",189,"RUMUEKINI","",02-AUG-22 09.47.13.000000000 PM,70
1136,"MARKET ROAD ","","4.8678246","6.9180755","","",190,"MARKET ROAD","",02-AUG-22 09.47.13.000000000 PM,71
1137,"ADP ","","4.8964774","6.9918949","","",190,"ADP","",02-AUG-22 09.47.13.000000000 PM,72
1139,"TAP","OYIGBO 11KV FEEDER STARTS HERE","4.8610334","7.0859831","","",192,"TAP","",02-AUG-22 09.47.13.000000000 PM,73
1140,"OLU OBASANJO","","4.8610527","7.0867897","","",192,"OLU OBASANJO","",02-AUG-22 09.47.13.000000000 PM,74
1141,"BRISTOL ","","4.7926713","7.0389223","","",192,"BRISTOL","",02-AUG-22 09.47.13.000000000 PM,75
1142,"ELELENWO ","","4.8610527","7.0867897","","",192,"ELELENWO","",02-AUG-22 09.47.13.000000000 PM,76
1143,"ZENITH ","ZENITH 11KV FEEDER STARTS HERE","4.8606811","7.0872048","","",192,"ZENITH","",02-AUG-22 09.47.13.000000000 PM,77
1144,"MBANO JUNCTION","","4.876729 ","7.1177076","","",193,"MBANO","",02-AUG-22 09.47.13.000000000 PM,78
1145,"FIRST BANK ","FIRST BANK 11KV FEEDER STARTS HERE","4.876729 ","7.1177076","","",193,"FIRST BANK","",02-AUG-22 09.47.13.000000000 PM,79
1146,"OKRIKA ","","4.7661922","7.1013974","","",985,"OKRIKA","",02-AUG-22 09.47.13.000000000 PM,80
1147,"COT GAS","","4.7661922","7.1013974","","",985,"COT GAS","",02-AUG-22 09.47.13.000000000 PM,81
1152,"ESTATE 11KV","","4.8105562"," 6.979632","","",230,"ESTATE 11KV","",02-AUG-22 09.47.13.000000000 PM,82
1153,"AKPAJO","RSTV INJECTION SUBSTATION","4.8276916","333333334","","",196,"AKPAJO","",02-AUG-22 09.47.13.000000000 PM,83
1154,"PALACE ROAD","","4.827558 ","7.0866205","","",196,"PALACE ROAD","",02-AUG-22 09.47.13.000000000 PM,84
1159,"IDORO ROAD","the feeder was known as ITAM INDUSTRIAL 11KV But now is known as IDORO 11KV","5.0517017","7.8903593","","",222,"IDORO ROAD","",02-AUG-22 09.47.13.000000000 PM,85
1160,"MBAK ","connected and working","5.0497874","7.8886582","","",222,"MBAK","",02-AUG-22 09.47.13.000000000 PM,86
1162,"G.R.A","","5.1688916","333333333","","",200,"GRA","",02-AUG-22 09.47.13.000000000 PM,87
1163,"TOWN FEEDER ","","5.16884 /","666666666","","",200,"TOWN FEEDER","",02-AUG-22 09.47.13.000000000 PM,88
1167,"BROOKS","","5.0224252","7.9383459","","",249,"BROOKS","",02-AUG-22 09.47.13.000000000 PM,89
1168,"AKA ITIAM","","5.0224252","7.9383459","","",249,"AKA ITIAM","",02-AUG-22 09.47.13.000000000 PM,90
1170,"AKA ROAD","","5.0210133","999999999","","",202,"AKA ROAD","",02-AUG-22 09.47.13.000000000 PM,91
1171,"SIR UDO UDOMA","","5.019535 ","333333333","","",202,"SIR UDO UDOMA","",02-AUG-22 09.47.13.000000000 PM,92
1172,"IBB AVENUE ","","5.0210233","333333332","","",202,"IBB","",02-AUG-22 09.47.13.000000000 PM,93
1175,"OKON","","4.6509483"," 7.923385","","",204,"OKON","",02-AUG-22 09.47.13.000000000 PM,94
1176,"IKOT IBIOK","","4.6506333","333333334","","",204,"IKOT IBIOK","",02-AUG-22 09.47.13.000000000 PM,95
1177,"QUA RIVER","","4.6509766","333333336","","",204,"QUA RIVER","",02-AUG-22 09.47.13.000000000 PM,96
